Commodity Group,Commodity,Average Price,Average Arrival
Cereals,Bajra(Pearl Millet/Cumbu),2628.3266666666664,2100.9533333333334
Cereals,Barley(Jau),2310.983333333333,86.54333333333334
Cereals,Jowar(Sorghum),4854.743333333333,212.95333333333335
Cereals,Maize,1687.3966666666665,41846.670000000006
Cereals,Paddy(Common),2524.9133333333334,128100.20333333332
Cereals,Ragi(Finger Millet),5366.666666666667,0.30000000000000004
Cereals,Wheat,2556.1233333333334,22474.400000000005
Fibre Crops,Cotton,7552.716666666666,17719.366666666665
Oil Seeds,Copra,19920.99,16.775
Oil Seeds,Groundnut,6077.266666666666,6032.3533333333335
Oil Seeds,Mustard,6597.2266666666665,1160.57
Oil Seeds,Niger Seed(Ramtil),9254.255000000001,4.6000000000000005
Oil Seeds,Safflower,7846.566666666667,1.2166666666666668
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",10394.42,216.8033333333333
Oil Seeds,Soyabean,4453.576666666667,13235.756666666668
Pulses,Arhar(Tur/Red Gram)(Whole),6663.593333333333,696.0233333333334
Pulses,Bengal Gram(Gram)(Whole),5598.823333333334,1425.3
Pulses,Black Gram(Urd Beans)(Whole),6818.599999999999,496.3766666666667
Pulses,Green Gram(Moong)(Whole),6772.63,1296.9966666666667
Pulses,Lentil(Masur)(Whole),7423.7266666666665,380.02
Vegetables,Onion,1440.6133333333335,15115.846666666666
Vegetables,Potato,842.35,55558.496666666666
Vegetables,Tomato,3516.8933333333334,3813.9966666666664
